Cancer_type_acronym	Cancer_type_name	EFO_id	EFO_name	Source
SBCC	Skin basal cell carcinoma	MONDO_0020804	basal cell carcinoma	Dataset from intOGen
SG	Salivary glands cancer	MONDO_0004669	salivary gland cancer	Dataset from intOGen
ST	Stomach adenocarcinoma	MONDO_0005036	gastric adenocarcinoma	Dataset from intOGen
THYM	Thymic carcinoma	MONDO_0006451	thymic carcinoma	Dataset from intOGen
UCS	Uterine carcinosarcoma	MONDO_0006485	uterine carcinosarcoma	Dataset from intOGen
UVM	Uveal melanoma	MONDO_0006486	uveal melanoma	Dataset from intOGen
VV	Vulva Cancer	MONDO_0001528	vulva cancer	Dataset from intOGen
WT	Wilms tumor	Orphanet_654	Nephroblastoma	Dataset from intOGen
UM	Uveal Melanoma	MONDO_0006486	uveal melanoma	Dataset from intOGen
RMS	Rhabdomyosarcoma	MONDO_0005212	rhabdomyosarcoma	Dataset from intOGen
RCC	Renal Cell Carcinoma	MONDO_0005086	renal cell carcinoma	Dataset from intOGen
LMS	Leiomyosarcoma	MONDO_0005058	leiomyosarcoma	Dataset from intOGen
CHOL	Cholangiocarcinoma	MONDO_0019087	cholangiocarcinoma	Dataset from intOGen
MEL	Melanoma	MONDO_0005105	melanoma	Dataset from intOGen
BCC	Basal Cell Carcinoma	MONDO_0020804	basal cell carcinoma	Dataset from intOGen
PLMESO	Pleural Mesothelioma	MONDO_0003308	pleural mesothelioma	Dataset from intOGen
PANET	Pancreatic Neuroendocrine Tumor	MONDO_0019954	pancreatic neuroendocrine tumor	Dataset from intOGen
LNM	Lymphoid Neoplasm	MONDO_0005157	lymphoid neoplasm	Dataset from intOGen
PAST	Pilocytic Astrocytoma	MONDO_0016691	pilocytic astrocytoma	Dataset from intOGen
BL	Burkitt Lymphoma	MONDO_0007243	Burkitt lymphoma	Dataset from intOGen
ACYC	Adenoid Cystic Carcinoma	MONDO_0004971	adenoid cystic carcinoma	Dataset from intOGen
WDTC	Well-Differentiated Thyroid Cancer	MONDO_0015447	differentiated thyroid carcinoma	Dataset from intOGen
COAD	Colon Adenocarcinoma	MONDO_0002271	colon adenocarcinoma	Dataset from intOGen
EPM	Ependymoma	MONDO_0016698	ependymoma	Dataset from intOGen
CSCC	Cutaneous Squamous Cell Carcinoma	EFO_1001927	cutaneous squamous cell carcinoma	Dataset from intOGen
MLYM	Malignant Lymphoma	MONDO_0005062	lymphoma	Dataset from intOGen
MDS	Myelodysplastic Syndromes	MONDO_0018881	myelodysplastic syndrome	Dataset from intOGen
PGNG	Paraganglioma	MONDO_0000448	paraganglioma	Dataset from intOGen
CCRCC	Renal Clear Cell Carcinoma	MONDO_0005005	clear cell renal carcinoma	Dataset from intOGen
HCC	Hepatocellular Carcinoma	MONDO_0007256	hepatocellular carcinoma	Dataset from intOGen
OVT	Ovarian Epithelial Tumor	MONDO_0002229	ovarian epithelial tumor	Dataset from intOGen
PRCC	Papillary Renal Cell Carcinoma	MONDO_0017884	papillary renal cell carcinoma	Dataset from intOGen
COADREAD	Colorectal Adenocarcinoma	MONDO_0005008	colorectal adenocarcinoma	Dataset from intOGen
RBL	Retinoblastoma	MONDO_0008380	retinoblastoma	Dataset from intOGen
CHRCC	Chromophobe Renal Cell Carcinoma	MONDO_0017885	chromophobe renal cell carcinoma	Dataset from intOGen
NBL	Neuroblastoma	MONDO_0005072	neuroblastoma	Dataset from intOGen
