studyId	studyType	analysisFlag	qualityControl	isCurated
GCST90240062		Metabolite		TRUE
GCST90240035		Metabolite		TRUE
GCST90240015		Metabolite		TRUE
GCST90240067		Metabolite		TRUE
GCST90240068		Metabolite		TRUE
GCST90240063		Metabolite		TRUE
GCST90240087		Metabolite		TRUE
GCST90240040		Metabolite		TRUE
GCST90240039		Metabolite		TRUE
GCST002961		Metabolite		TRUE
GCST90240045		Metabolite		TRUE
GCST90240076		Metabolite		TRUE
GCST002966		Metabolite		TRUE
GCST90240073		Metabolite		TRUE
GCST90240096		Metabolite		TRUE
GCST90240086		Metabolite		TRUE
GCST90240016		Metabolite		TRUE
GCST90240075		Metabolite		TRUE
GCST90240008		Metabolite		TRUE
GCST90240058		Metabolite		TRUE
GCST90239996		Metabolite		TRUE
GCST90240003		Metabolite		TRUE
GCST90240070		Metabolite		TRUE
GCST90240118		Metabolite		TRUE
GCST90240009		Metabolite		TRUE
GCST90240056		Metabolite		TRUE
GCST90240032		Metabolite		TRUE
GCST90240022		Metabolite		TRUE
GCST90240020		Metabolite		TRUE
GCST90240102		Metabolite		TRUE
GCST90240033		Metabolite		TRUE
GCST90240001		Metabolite		TRUE
GCST90240089		Metabolite		TRUE
GCST90240105		Metabolite		TRUE
GCST90240115		Metabolite		TRUE
GCST90240116		Metabolite		TRUE
GCST90240052		Metabolite		TRUE
GCST90240037		Metabolite		TRUE
GCST90240065		Metabolite		TRUE
GCST90240029		Metabolite		TRUE
GCST90240061		Metabolite		TRUE
GCST90239990		Metabolite		TRUE
GCST90240021		Metabolite		TRUE
GCST90240093		Metabolite		TRUE
GCST90240112		Metabolite		TRUE
GCST90240082		Metabolite		TRUE
GCST90240084		Metabolite		TRUE
GCST90239999		Metabolite		TRUE
GCST90240048		Metabolite		TRUE
GCST90240095		Metabolite		TRUE
GCST90240024		Metabolite		TRUE
GCST90240036		Metabolite		TRUE
GCST90240026		Metabolite		TRUE
GCST90240111		Metabolite		TRUE
GCST90240078		Metabolite		TRUE
GCST90240103		Metabolite		TRUE
GCST90240034		Metabolite		TRUE
GCST90240110		Metabolite		TRUE
GCST90240057		Metabolite		TRUE
GCST90240101		Metabolite		TRUE
GCST90240071		Metabolite		TRUE
GCST90240077		Metabolite		TRUE
GCST90240081		Metabolite		TRUE
GCST90240072		Metabolite		TRUE
GCST90240113		Metabolite		TRUE
GCST90240023		Metabolite		TRUE
GCST90240051		Metabolite		TRUE
GCST90240046		Metabolite		TRUE
GCST90240030		Metabolite		TRUE
GCST90240080		Metabolite		TRUE
GCST90240005		Metabolite		TRUE
GCST90240088		Metabolite		TRUE
GCST90240044		Metabolite		TRUE
GCST90240059		Metabolite		TRUE
GCST90240042		Metabolite		TRUE
GCST90240108		Metabolite		TRUE
GCST002959		Metabolite		TRUE
GCST90240055		Metabolite		TRUE
GCST90240027		Metabolite		TRUE
GCST90240041		Metabolite		TRUE
GCST90240107		Metabolite		TRUE
GCST90240006		Metabolite		TRUE
GCST90240054		Metabolite		TRUE
GCST90240090		Metabolite		TRUE
GCST90239997		Metabolite		TRUE
GCST90240092		Metabolite		TRUE
GCST90240010		Metabolite		TRUE
GCST90240066		Metabolite		TRUE
GCST003045				TRUE
GCST003043				TRUE
GCST003044				TRUE
GCST003116				TRUE
GCST003129				TRUE
GCST003143				TRUE
GCST003156				TRUE
GCST005540				TRUE
GCST005543				TRUE
GCST003219				TRUE
GCST011750				TRUE
GCST003378				TRUE
GCST012487				TRUE
GCST012486				TRUE
GCST003375				TRUE
GCST003374				TRUE
GCST003372				TRUE
GCST003373				TRUE
GCST003401				TRUE
GCST003371				TRUE
GCST003367				TRUE
GCST003368				TRUE
GCST003435				TRUE
GCST006802				TRUE
GCST006801				TRUE
GCST003484				TRUE
GCST003392				TRUE
GCST003395				TRUE
GCST003394				TRUE
GCST003496			Failed summary statistics quality control	TRUE
GCST003497			Failed summary statistics quality control	TRUE
GCST003498			Failed summary statistics quality control	TRUE
GCST003499			Failed summary statistics quality control	TRUE
GCST003467				TRUE
GCST003769				TRUE
GCST003766				TRUE
GCST003770			Failed summary statistics quality control	TRUE
GCST003724				TRUE
GCST003566				TRUE
GCST003659			Failed summary statistics quality control	TRUE
GCST003658				TRUE
GCST005178				TRUE
GCST004692			Failed summary statistics quality control	TRUE
GCST003837				TRUE
GCST003839				TRUE
GCST006685				TRUE
GCST006686				TRUE
GCST003738				TRUE
GCST003740				TRUE
GCST003739				TRUE
GCST006227				TRUE
GCST006231				TRUE
GCST006229				TRUE
GCST006230				TRUE
GCST006228				TRUE
GCST006258				TRUE
GCST006259				TRUE
GCST007557				TRUE
GCST003814				TRUE
GCST012236				TRUE
GCST012235				TRUE
GCST012234				TRUE
GCST012238				TRUE
GCST012242				TRUE
GCST012240				TRUE
GCST012237				TRUE
GCST012239				TRUE
GCST012241				TRUE
GCST006044				TRUE
GCST006046				TRUE
GCST006045				TRUE
GCST003795				TRUE
GCST006047				TRUE
GCST004614				TRUE
GCST004617				TRUE
GCST004600				TRUE
GCST004611				TRUE
GCST004602				TRUE
GCST004606				TRUE
GCST004609				TRUE
GCST004601				TRUE
GCST004610				TRUE
GCST004607				TRUE
GCST004605				TRUE
GCST004625				TRUE
GCST004628				TRUE
GCST004633				TRUE
GCST004612				TRUE
GCST004615				TRUE
GCST004631				TRUE
GCST004629				TRUE
GCST004603				TRUE
GCST004623				TRUE
GCST004608				TRUE
GCST004604				TRUE
GCST004634				TRUE
GCST004632				TRUE
GCST004622				TRUE
GCST004619				TRUE
GCST004613				TRUE
GCST004630				TRUE
GCST004626				TRUE
